1,ATP 4-42.2,Supply Support Activity Operations,2014,Headquaters - Department of the Army,Available
2,ATP 3-04.94,Army Techniques Publication for Forward Arming and Refueling Points,2012,Headquaters - Department of the Army,Available
3,Joint Publication 2-01,Joint and National Intelligence Support to Military Operations,2012,William E. Gortney,Available
4,Joint Publications 3-0,Joints Operations,2017,Kevin D. Scott,Available
5,Joint Publications 3-29,Foreign Humanitarian Assistance,2014,David L. Goldfein,Available
6,Joint Publications 3-17,Air Mobility Operations,2013,David L. Goldfein,Available
7,Joint Publications 0-2,Unified Action Armed Forces(UNAAF),2001,Henry H Shelton,Available
8,Joint Publication 1-04,Legal Support to Military Operations,2016,Kevin D. Scott,Available
9,Joint Publication 3-13.3,Operations Security,2006,Walter L. Sharp,Available
10,Joint Publication 3-14,Space Operations,2013,Curtis M. Scaparrotti,Available
11,Joint Publication 3-16,Multinational Operations,2013,Curtis M. Scaparrotti,Available
12,FM 3-55,Information Collection,2013,Headquaters - Department of the Army,Available
13,FM 3-57,Civil Affairs Operations,2011,Headquaters - Department of the Army,Available
14,FM 3-61,Publics Affairs Operations,2014,Headquaters - Department of the Army,Available
15,MCOE 3-90,Armored Brigade Combat Team,2015,Fort Benning,Available
16,MCOE 3-90-1,Infantry Brigade Combat Team,2015,Fort Benning,Available
17,DSCA,Multi-Service Tactics Techniques And Procedures for Defense Support of  Civil Authorities,2015,Air Land Sea Application Center,Available
18,ST22-2,Leader Communication,2016,Command and General Staff School,Available
19,ATP 4-93,Sustainment Brigade,2016,Headquaters - Department of the Army,Available
20,FM 4-01,Army Transportation Operations,2014,Headquaters - Department of the Army,Available
21,FM 4-40,Quartermaster Operations,2013,Headquaters - Department of the Army,Available
22,ADRP 1-02,Terms and Military Symbols,2016,Headquaters - Department of the Army,Available
23,FM 3-98,Reconnaissance and Security Operations,2015,Headquaters - Department of the Army,Available
24,FM 3-90-2,Reconnaissance Security and Tactical Enabling Tasks Vol.2,2013,Headquaters - Department of the Army,Available
25,FM 3-99,Airbornce and Air Assault Operations,2015,Headquaters - Department of the Army,Available
26,FM 7-10,Infantry Rifle Company,2006,Headquaters - Department of the Army,Available
27,FM 6-0,Commander and Staff Organiztions and Operations,2014,Headquaters - Department of the Army,Available
28,FM 3-81,Manuever Enhancement Brigade,2014,Headquaters - Department of the Army,Available
29,FM 3-94,Theater Army Corps and Division Operations,2014,Headquaters - Department of the Army,Available
30,Joint Publication 3-33,Joint Task Force Headquarters,2012,William E. Gortney,Available
31,FM 3-90-2,Reconnaissance Security and Tactical Enabling Tasks Vol.2,2013,Headquaters - Department of the Army,Available
32,Joint Publication 3-30,Command and Control of Joint Air Operations,2014,David L. Goldfein,Available
33,Joint Publication 3-01,Countering Air and Missle Threats,2017,Kevin D Scott,Available
34,Joint Publication 3-03,Joint Interdiction,2016,Kevin D Scott,Available
35,Joint Publication 3-07.03,Peace Operations,2007,Walter L Sharp,Available
36,Joint Publications 3-09,Joint Fire Support,2014,David L. Goldfein,Available
37,Joint Publication 3-13,Information Operations,2012,Curtis M. Scaparrotti,Available
38,Joint Publication 3-13.1,Electronic Warfare,2007,Walter L Sharp,Available
